Category,Average Response Time,Request Type,Frequency,Size,Power
Avegare,23.563840475607623,-0.0057523600537898,1.0,1.0,16.655555555555555
order_high_large,21.822846424474847,-0.000312402374258,2.0,2.0,17.75
order_high_medium,15.972365996974986,-0.000312402374258,2.0,1.0,17.669999999999998
order_high_small,15.82894622044114,-0.000312402374258,2.0,0.0,17.78
order_low_large,29.584392961260164,-0.015384615384615299,0.0,2.0,15.719999999999999
order_low_medium,23.866007656761212,-0.015384615384615299,0.0,1.0,15.680000000000001
order_low_small,51.257176346553024,-0.015384615384615299,0.0,0.0,15.74
order_medium_large,21.035262074656202,-0.0015600624024961,1.0,2.0,16.48
order_medium_medium,15.868493093730649,-0.0015600624024961,1.0,1.0,16.45
order_medium_small,16.839073505616398,-0.0015600624024961,1.0,0.0,16.630000000000003
