File Name,Average Response Time,Request Type,Frequency,Size,Power
order_high_large_rest1,26.62036514884676,-0.000312402374258,2.0,2.0,17.9
order_high_large_rest10,19.335952598630683,-0.000312402374258,2.0,2.0,17.7
order_high_large_rest2,22.054453387099784,-0.000312402374258,2.0,2.0,17.3
order_high_large_rest3,23.32541778581799,-0.000312402374258,2.0,2.0,17.7
order_high_large_rest4,22.60230286396109,-0.000312402374258,2.0,2.0,17.7
order_high_large_rest5,20.94523271938669,-0.000312402374258,2.0,2.0,17.2
order_high_large_rest6,19.830615779646905,-0.000312402374258,2.0,2.0,18.4
order_high_large_rest7,20.445594333432386,-0.000312402374258,2.0,2.0,17.7
order_high_large_rest8,21.966932924406137,-0.000312402374258,2.0,2.0,17.9
order_high_large_rest9,21.101596703520045,-0.000312402374258,2.0,2.0,18.0
order_high_medium_rest1,19.14642343224841,-0.000312402374258,2.0,1.0,18.5
order_high_medium_rest10,14.27270638771006,-0.000312402374258,2.0,1.0,18.1
order_high_medium_rest2,15.769713752233656,-0.000312402374258,2.0,1.0,17.4
order_high_medium_rest3,17.91513858392136,-0.000312402374258,2.0,1.0,16.9
order_high_medium_rest4,15.665421932935716,-0.000312402374258,2.0,1.0,17.0
order_high_medium_rest5,16.056979590648552,-0.000312402374258,2.0,1.0,17.3
order_high_medium_rest6,14.640929618180962,-0.000312402374258,2.0,1.0,17.7
order_high_medium_rest7,15.706657580885803,-0.000312402374258,2.0,1.0,17.8
order_high_medium_rest8,15.422694529988805,-0.000312402374258,2.0,1.0,18.0
order_high_medium_rest9,15.126994560996536,-0.000312402374258,2.0,1.0,18.0
order_high_small_rest1,20.032501622044947,-0.000312402374258,2.0,0.0,18.7
order_high_small_rest10,15.373039853584489,-0.000312402374258,2.0,0.0,17.9
order_high_small_rest2,16.58309204503894,-0.000312402374258,2.0,0.0,18.3
order_high_small_rest3,16.116205252474174,-0.000312402374258,2.0,0.0,17.1
order_high_small_rest4,16.16787039922201,-0.000312402374258,2.0,0.0,17.2
order_high_small_rest5,13.939411853061756,-0.000312402374258,2.0,0.0,17.8
order_high_small_rest6,14.341051900264574,-0.000312402374258,2.0,0.0,17.7
order_high_small_rest7,15.455867510463577,-0.000312402374258,2.0,0.0,17.6
order_high_small_rest8,14.954376526729902,-0.000312402374258,2.0,0.0,17.7
order_high_small_rest9,15.326045241527028,-0.000312402374258,2.0,0.0,17.8
order_low_large_rest1,41.4324527446297,-0.0153846153846153,0.0,2.0,16.2
order_low_large_rest10,31.80807847820688,-0.0153846153846153,0.0,2.0,15.7
order_low_large_rest2,28.841856692451984,-0.0153846153846153,0.0,2.0,15.9
order_low_large_rest3,25.09705285774544,-0.0153846153846153,0.0,2.0,15.5
order_low_large_rest4,33.223199512576684,-0.0153846153846153,0.0,2.0,15.5
order_low_large_rest5,21.38360855315113,-0.0153846153846153,0.0,2.0,15.6
order_low_large_rest6,23.982928876648657,-0.0153846153846153,0.0,2.0,15.7
order_low_large_rest7,28.035866547725163,-0.0153846153846153,0.0,2.0,15.7
order_low_large_rest8,31.887142264167775,-0.0153846153846153,0.0,2.0,15.7
order_low_large_rest9,30.15174308529822,-0.0153846153846153,0.0,2.0,15.7
order_low_medium_rest1,19.25389454845572,-0.0153846153846153,0.0,1.0,15.7
order_low_medium_rest10,24.90545774344355,-0.0153846153846153,0.0,1.0,15.7
order_low_medium_rest2,27.128479101520497,-0.0153846153846153,0.0,1.0,15.8
order_low_medium_rest3,17.712122833472677,-0.0153846153846153,0.0,1.0,15.7
order_low_medium_rest4,27.022380236303437,-0.0153846153846153,0.0,1.0,15.9
order_low_medium_rest5,24.06730313668959,-0.0153846153846153,0.0,1.0,15.7
order_low_medium_rest6,24.83119084354257,-0.0153846153846153,0.0,1.0,15.7
order_low_medium_rest7,29.030191115452908,-0.0153846153846153,0.0,1.0,15.5
order_low_medium_rest8,25.5043651923188,-0.0153846153846153,0.0,1.0,15.5
order_low_medium_rest9,19.204691816412375,-0.0153846153846153,0.0,1.0,15.6
order_low_small_rest1,291.7910065007163,-0.0153846153846153,0.0,0.0,16.2
order_low_small_rest10,25.50267515471205,-0.0153846153846153,0.0,0.0,15.8
order_low_small_rest2,29.630971061124,-0.0153846153846153,0.0,0.0,15.8
order_low_small_rest3,27.759215568949003,-0.0153846153846153,0.0,0.0,15.7
order_low_small_rest4,23.546021635411307,-0.0153846153846153,0.0,0.0,15.6
order_low_small_rest5,20.640376649680547,-0.0153846153846153,0.0,0.0,15.5
order_low_small_rest6,21.80793011939386,-0.0153846153846153,0.0,0.0,15.7
order_low_small_rest7,25.41006290994119,-0.0153846153846153,0.0,0.0,15.5
order_low_small_rest8,21.313537312380504,-0.0153846153846153,0.0,0.0,15.8
order_low_small_rest9,25.169966553221457,-0.0153846153846153,0.0,0.0,15.8
order_medium_large_rest1,22.83782749727834,-0.0015600624024961,1.0,2.0,16.3
order_medium_large_rest10,19.7818670210836,-0.0015600624024961,1.0,2.0,16.6
order_medium_large_rest2,18.959137843194185,-0.0015600624024961,1.0,2.0,16.4
order_medium_large_rest3,21.415262825757964,-0.0015600624024961,1.0,2.0,16.5
order_medium_large_rest4,22.99012230068911,-0.0015600624024961,1.0,2.0,16.5
order_medium_large_rest5,23.100539379083784,-0.0015600624024961,1.0,2.0,16.1
order_medium_large_rest6,18.98839824134484,-0.0015600624024961,1.0,2.0,16.4
order_medium_large_rest7,20.760256597714037,-0.0015600624024961,1.0,2.0,16.7
order_medium_large_rest8,19.79840474523371,-0.0015600624024961,1.0,2.0,16.7
order_medium_large_rest9,21.72080429518246,-0.0015600624024961,1.0,2.0,16.6
order_medium_medium_rest1,16.73987250032951,-0.0015600624024961,1.0,1.0,16.5
order_medium_medium_rest10,16.255308304243954,-0.0015600624024961,1.0,1.0,16.4
order_medium_medium_rest2,14.97244137353846,-0.0015600624024961,1.0,1.0,16.3
order_medium_medium_rest3,16.54865048112697,-0.0015600624024961,1.0,1.0,16.1
order_medium_medium_rest4,13.886454160819994,-0.0015600624024961,1.0,1.0,16.3
order_medium_medium_rest5,15.555875733844005,-0.0015600624024961,1.0,1.0,16.7
order_medium_medium_rest6,15.520042955176905,-0.0015600624024961,1.0,1.0,16.5
order_medium_medium_rest7,16.29876450606389,-0.0015600624024961,1.0,1.0,16.5
order_medium_medium_rest8,16.939508931682212,-0.0015600624024961,1.0,1.0,16.4
order_medium_medium_rest9,15.96801199048059,-0.0015600624024961,1.0,1.0,16.8
order_medium_small_rest1,24.44010425460874,-0.0015600624024961,1.0,0.0,16.9
order_medium_small_rest10,16.79378753542551,-0.0015600624024961,1.0,0.0,16.9
order_medium_small_rest2,13.928530714474618,-0.0015600624024961,1.0,0.0,16.4
order_medium_small_rest3,17.602629095927114,-0.0015600624024961,1.0,0.0,16.1
order_medium_small_rest4,16.222086182096973,-0.0015600624024961,1.0,0.0,16.3
order_medium_small_rest5,14.184403647232102,-0.0015600624024961,1.0,0.0,16.7
order_medium_small_rest6,14.766045108262915,-0.0015600624024961,1.0,0.0,16.6
order_medium_small_rest7,15.471581583551597,-0.0015600624024961,1.0,0.0,16.9
order_medium_small_rest8,17.385955286590615,-0.0015600624024961,1.0,0.0,16.6
order_medium_small_rest9,17.595611647993792,-0.0015600624024961,1.0,0.0,16.9
Avegare,23.563840475607623,-0.0057523600537898,1.0,1.0,16.655555555555555
